"","value","L1"
"CCDC13","CCDC13",12
"CCDC142","CCDC142",12
"CCDC18","CCDC18",12
"CCDC7","CCDC7",12
"CCDC84","CCDC84",12
"CCM2","CCM2",12
"CCND1","CCND1",12
"CCND3","CCND3",12
"CCR10","CCR10",12
"CCT8","CCT8",12
"CD101","CD101",12
"CD37","CD37",12
"CD52","CD52",12
"CD63","CD63",12
"CD8B","CD8B",12
"CDC123","CDC123",12
"CDC25B","CDC25B",12
"CDC42SE2","CDC42SE2",12
"CDK2AP1","CDK2AP1",12
"CDK6","CDK6",12
"CDRT15","CDRT15",12
"CDRT15P1","CDRT15P1",12
"CEBPB","CEBPB",12
"CEBPD","CEBPD",12
"CEMP1","CEMP1",12
"CEP250","CEP250",12
"CEP63","CEP63",12
"CEP95","CEP95",12
"CERS2","CERS2",12
"CERS6-AS1","CERS6-AS1",12
"CFL1","CFL1",12
"CFLAR-AS1","CFLAR-AS1",12
"CHRNB1","CHRNB1",12
"CHST15","CHST15",12
"CHTOP","CHTOP",12
"CIAO1","CIAO1",12
"CIDEB","CIDEB",12
"CLDN7","CLDN7",12
"CLEC12A","CLEC12A",12
"CLIC1","CLIC1",12
"CLK1","CLK1",12
"CLUAP1","CLUAP1",12
"CMTM6","CMTM6",12
"CNNM4","CNNM4",12
"CNOT1","CNOT1",12
"CNOT3","CNOT3",12
"COA6","COA6",12
"COMMD10","COMMD10",12
"COMT","COMT",12
"COPA","COPA",12
"CORO1A","CORO1A",12
"CORO1B","CORO1B",12
"CORO1C","CORO1C",12
"COTL1","COTL1",12
"CP","CP",12
"CPNE2","CPNE2",12
"CRELD2","CRELD2",12
"CRMP1","CRMP1",12
"CRNKL1","CRNKL1",12
"CRTC3","CRTC3",12
"CS","CS",12
"CTAGE5","CTAGE5",12
"CTAGE7P","CTAGE7P",12
"CTDSP1","CTDSP1",12
"CTDSP2","CTDSP2",12
"CX3CR1","CX3CR1",12
"CXCR5","CXCR5",12
"DBF4","DBF4",12
"DCAF17","DCAF17",12
"DCPS","DCPS",12
"DCST1","DCST1",12
"DDX23","DDX23",12
"DDX42","DDX42",12
"DENND5A","DENND5A",12
"DGKA","DGKA",12
"DHPS","DHPS",12
"DHRS4-AS1","DHRS4-AS1",12
"DISC2","DISC2",12
"DMTF1","DMTF1",12
"DNAH3","DNAH3",12
"DONSON","DONSON",12
"DPYD-AS1","DPYD-AS1",12
"DSCR3","DSCR3",12
"DTNB","DTNB",12
"DTX3L","DTX3L",12
"DUOX1","DUOX1",12
"DUSP6","DUSP6",12
"DVL1","DVL1",12
"ECE1","ECE1",12
"EFHD2","EFHD2",12
"EIF2S1","EIF2S1",12
"EIF3I","EIF3I",12
"EIF4EBP2","EIF4EBP2",12
"EIF4G1","EIF4G1",12
"ELK4","ELK4",12
"ELL3","ELL3",12
"EMP3","EMP3",12
"ENO2","ENO2",12
"ENOPH1","ENOPH1",12
"ENTPD1-AS1","ENTPD1-AS1",12
"EPB41L5","EPB41L5",12
"EPX","EPX",12
"ERAP1","ERAP1",12
"ERAP2","ERAP2",12
"ESPN","ESPN",12
"ETFDH","ETFDH",12
"ETV4","ETV4",12
"EXOSC10","EXOSC10",12
"EXOSC3","EXOSC3",12
"FADS2","FADS2",12
"FAM104A","FAM104A",12
"FAM115C","FAM115C",12
"FAM162A","FAM162A",12
"FAM195A","FAM195A",12
"FAM198B","FAM198B",12
"FAM208A","FAM208A",12
"FAM217B","FAM217B",12
"FAM21C","FAM21C",12
"FAM57A","FAM57A",12
"FAM86C1","FAM86C1",12
"FAN1","FAN1",12
"FANCD2OS","FANCD2OS",12
"FBXL3","FBXL3",12
"FBXW4","FBXW4",12
"FCRLB","FCRLB",12
"FES","FES",12
"FGD3","FGD3",12
"FGFR1","FGFR1",12
"FHOD3","FHOD3",12
"FIBP","FIBP",12
"FIP1L1","FIP1L1",12
"FKBP3","FKBP3",12
"FLII","FLII",12
"FLRT1","FLRT1",12
"FRMD8","FRMD8",12
"FUT4","FUT4",12
"FXYD5","FXYD5",12
"FXYD6","FXYD6",12
"G6PD","G6PD",12
"GALNT9","GALNT9",12
"GAS5","GAS5",12
"GBF1","GBF1",12
"GFM1","GFM1",12
"GHRL","GHRL",12
"GIMAP2","GIMAP2",12
"GIMAP8","GIMAP8",12
"GLB1L","GLB1L",12
"GLIS2","GLIS2",12
"GLS2","GLS2",12
"GNB3","GNB3",12
"GNG13","GNG13",12
"GON4L","GON4L",12
"GPANK1","GPANK1",12
"GPAT2","GPAT2",12
"GPLD1","GPLD1",12
"GPN1","GPN1",12
"GPR107","GPR107",12
"GPRASP1","GPRASP1",12
"GRID2IP","GRID2IP",12
"GRIN3B","GRIN3B",12
"GRIP1","GRIP1",12
"GSDMD","GSDMD",12
"GSN-AS1","GSN-AS1",12
"GTF2H1","GTF2H1",12
"GTPBP2","GTPBP2",12
"GUCD1","GUCD1",12
"GUCY2C","GUCY2C",12
"H1F0","H1F0",12
"HBP1","HBP1",12
"HCFC1R1","HCFC1R1",12
"HCG27","HCG27",12
"HDAC1","HDAC1",12
"HDHD1","HDHD1",12
"HDLBP","HDLBP",12
"HEATR1","HEATR1",12
"HEXA","HEXA",12
"HLA-H","HLA-H",12
"HLX","HLX",12
"HMGA1","HMGA1",12
"HMGN2","HMGN2",12
"HMGN5","HMGN5",12
"HMHA1","HMHA1",12
"HN1","HN1",12
"HOXA10-AS","HOXA10-AS",12
"HOXA2","HOXA2",12
"HOXB-AS1","HOXB-AS1",12
"HOXB2","HOXB2",12
"HSPA14","HSPA14",12
"HSPA6","HSPA6",12
"HTATSF1","HTATSF1",12
"HVCN1","HVCN1",12
"IDI2","IDI2",12
"IER5","IER5",12
"IFI30","IFI30",12
"IFIH1","IFIH1",12
"IFNGR2","IFNGR2",12
"IFT140","IFT140",12
"IFT172","IFT172",12
"IGFBP7-AS1","IGFBP7-AS1",12
"IKBKG","IKBKG",12
"IL16","IL16",12
"ILF2","ILF2",12
"ING1","ING1",12
"INO80D","INO80D",12
"INPP5D","INPP5D",12
"INTS3","INTS3",12
"IQGAP2","IQGAP2",12
"IRF3","IRF3",12
"ITGB7","ITGB7",12
"ITPA","ITPA",12
"ITPR1","ITPR1",12
"ITPR2","ITPR2",12
"ITPR3","ITPR3",12
"JAZF1-AS1","JAZF1-AS1",12
"KARS","KARS",12
"KATNA1","KATNA1",12
"KCNA3","KCNA3",12
"KCNIP2","KCNIP2",12
"KCNMB3","KCNMB3",12
"KDM4A-AS1","KDM4A-AS1",12
"KDM5A","KDM5A",12
"KDSR","KDSR",12
"KHNYN","KHNYN",12
"KIAA0100","KIAA0100",12
"KIAA0226L","KIAA0226L",12
"KIAA0232","KIAA0232",12
"KIAA1656","KIAA1656",12
"KIF1B","KIF1B",12
"KIF1C","KIF1C",12
"KLF4","KLF4",12
"KLHL14","KLHL14",12
"KLHL17","KLHL17",12
"KLHL8","KLHL8",12
"KLLN","KLLN",12
"KMO","KMO",12
"KRI1","KRI1",12
"KRR1","KRR1",12
"LACC1","LACC1",12
"LCP2","LCP2",12
"LILRA6","LILRA6",12
"LIME1","LIME1",12
"LINC00652","LINC00652",12
"LINC00667","LINC00667",12
"LINC00847","LINC00847",12
"LINC00861","LINC00861",12
"LINC00899","LINC00899",12
"LINC00910","LINC00910",12
"LINC00943","LINC00943",12
"LINC01352","LINC01352",12
"LOC100129931","LOC100129931",12
"LOC100130705","LOC100130705",12
"LOC100130950","LOC100130950",12
"LOC100133286","LOC100133286",12
"LOC100288846","LOC100288846",12
"LOC100506606","LOC100506606",12
"LOC100653515","LOC100653515",12
"LOC100996351","LOC100996351",12
"LOC101927051","LOC101927051",12
"LOC101927124","LOC101927124",12
"LOC101927178","LOC101927178",12
"LOC101927272","LOC101927272",12
"LOC101927599","LOC101927599",12
"LOC101928163","LOC101928163",12
"LOC101928290","LOC101928290",12
"LOC101929225","LOC101929225",12
"LOC101929384","LOC101929384",12
"LOC101929664","LOC101929664",12
"LOC101929680","LOC101929680",12
"LOC101930452","LOC101930452",12
"LOC102724050","LOC102724050",12
"LOC102724153","LOC102724153",12
"LOC102724814","LOC102724814",12
"LOC153684","LOC153684",12
"LOC202181","LOC202181",12
"LOC286190","LOC286190",12
"LOC440416","LOC440416",12
"LOC541473","LOC541473",12
"LOC642361","LOC642361",12
"LOC643072","LOC643072",12
"LOC645638","LOC645638",12
"LRRK1","LRRK1",12
"LSP1","LSP1",12
"LST1","LST1",12
"LTB4R2","LTB4R2",12
"LYN","LYN",12
"M6PR","M6PR",12
"MACROD1","MACROD1",12
"MAF","MAF",12
"MAML2","MAML2",12
"MAN1B1","MAN1B1",12
"MAP1S","MAP1S",12
"MAP3K3","MAP3K3",12
"MAP3K4","MAP3K4",12
"MAP4","MAP4",12
"MAPK14","MAPK14",12
"MAPKAPK5","MAPKAPK5",12
"MARCKS","MARCKS",12
"MAST4","MAST4",12
"MBD4","MBD4",12
"MCFD2","MCFD2",12
"MCHR1","MCHR1",12
"MDFIC","MDFIC",12
"METRN","METRN",12
"MFSD1","MFSD1",12
"MFSD12","MFSD12",12
"MFSD4","MFSD4",12
"MGAT1","MGAT1",12
"MGAT2","MGAT2",12
"MGAT4B","MGAT4B",12
"MID1IP1-AS1","MID1IP1-AS1",12
"MIF","MIF",12
"MIR135A1","MIR135A1",12
"MIR4253","MIR4253",12
"MKL1","MKL1",12
"MLK7-AS1","MLK7-AS1",12
"MLST8","MLST8",12
"MORF4L2-AS1","MORF4L2-AS1",12
"MORN3","MORN3",12
"MOV10","MOV10",12
"MRPS14","MRPS14",12
"MS4A6A","MS4A6A",12
"MTCH1","MTCH1",12
"MTERFD2","MTERFD2",12
"MTERFD3","MTERFD3",12
"MTFR1","MTFR1",12
"MTMR10","MTMR10",12
"MTMR9LP","MTMR9LP",12
"MTRF1L","MTRF1L",12
"MTX1","MTX1",12
"MYD88","MYD88",12
"MYLPF","MYLPF",12
"MYRF","MYRF",12
"MYSM1","MYSM1",12
"NAGPA-AS1","NAGPA-AS1",12
"NAGS","NAGS",12
"NAPA-AS1","NAPA-AS1",12
"NAPSA","NAPSA",12
"NARFL","NARFL",12
"NBR1","NBR1",12
"NCAPD2","NCAPD2",12
"NCDN","NCDN",12
"NDRG4","NDRG4",12
"NDUFA6","NDUFA6",12
"NDUFV1","NDUFV1",12
"NDUFV2","NDUFV2",12
"NECAP2","NECAP2",12
"NEFM","NEFM",12
"NEK8","NEK8",12
"NFYB","NFYB",12
"NIT1","NIT1",12
"NKG7","NKG7",12
"NLRC3","NLRC3",12
"NOL6","NOL6",12
"NPY6R","NPY6R",12
"NR1H3","NR1H3",12
"NRADDP","NRADDP",12
"NRGN","NRGN",12
"NT5C1B","NT5C1B",12
"NUB1","NUB1",12
"NUCB1-AS1","NUCB1-AS1",12
"NUFIP2","NUFIP2",12
"NXF1","NXF1",12
"OVCH1","OVCH1",12
"PA2G4","PA2G4",12
"PABPC1","PABPC1",12
"PABPC3","PABPC3",12
"PACS1","PACS1",12
"PAK2","PAK2",12
"PAQR7","PAQR7",12
"PATZ1","PATZ1",12
"PCBD1","PCBD1",12
"PCBP2","PCBP2",12
"PCED1B-AS1","PCED1B-AS1",12
"PCGF1","PCGF1",12
"PCGF2","PCGF2",12
"PDCD6IP","PDCD6IP",12
"PDE6B","PDE6B",12
"PDGFB","PDGFB",12
"PEX2","PEX2",12
"PFDN5","PFDN5",12
"PFN1","PFN1",12
"PGGT1B","PGGT1B",12
"PGRMC2","PGRMC2",12
"PHKA2","PHKA2",12
"PINK1-AS","PINK1-AS",12
"PISD","PISD",12
"PLEKHG4","PLEKHG4",12
"PMS2P1","PMS2P1",12
"PNN","PNN",12
"POLR2E","POLR2E",12
"POLR3E","POLR3E",12
"POLR3G","POLR3G",12
"POLR3H","POLR3H",12
"PP2D1","PP2D1",12
"PPAPDC2","PPAPDC2",12
"PPIH","PPIH",12
"PPM1E","PPM1E",12
"PPP1R8","PPP1R8",12
"PPP2R3C","PPP2R3C",12
"PRDM4","PRDM4",12
"PREPL","PREPL",12
"PREX1","PREX1",12
"PRIMPOL","PRIMPOL",12
"PRKACA","PRKACA",12
"PRKAR1B","PRKAR1B",12
"PRPF31","PRPF31",12
"PRPF8","PRPF8",12
"PRR34","PRR34",12
"PRRC2A","PRRC2A",12
"PSMB7","PSMB7",12
"PTP4A2","PTP4A2",12
"PTPN11","PTPN11",12
"PTPN6","PTPN6",12
"PUF60","PUF60",12
"PURA","PURA",12
"RAB1A","RAB1A",12
"RAB33B","RAB33B",12
"RAB3GAP1","RAB3GAP1",12
"RAB41","RAB41",12
"RAD21","RAD21",12
"RALBP1","RALBP1",12
"RAPGEF6","RAPGEF6",12
"RASGRF2","RASGRF2",12
"RASGRP2","RASGRP2",12
"RASSF3","RASSF3",12
"RB1","RB1",12
"RBM15B","RBM15B",12
"RBPJ","RBPJ",12
"RECK","RECK",12
"RECQL4","RECQL4",12
"RELL2","RELL2",12
"RERE","RERE",12
"RFFL","RFFL",12
"RGPD1","RGPD1",12
"RHOB","RHOB",12
"RHOG","RHOG",12
"RIOK3","RIOK3",12
"RNF115","RNF115",12
"RNF168","RNF168",12
"RNF20","RNF20",12
"RPL23AP82","RPL23AP82",12
"RPS18P9","RPS18P9",12
"RPS8","RPS8",12
"RSL24D1","RSL24D1",12
"RSRP1","RSRP1",12
"RUFY2","RUFY2",12
"RWDD2B","RWDD2B",12
"RXFP2","RXFP2",12
"RXRB","RXRB",12
"S100A8","S100A8",12
"S100A9","S100A9",12
"S1PR4","S1PR4",12
"SAP30BP","SAP30BP",12
"SBF2-AS1","SBF2-AS1",12
"SCAF1","SCAF1",12
"SCIMP","SCIMP",12
"SCMH1","SCMH1",12
"SCO2","SCO2",12
"SCYL1","SCYL1",12
"SDCCAG8","SDCCAG8",12
"SEC1P","SEC1P",12
"SEC61A1","SEC61A1",12
"SECTM1","SECTM1",12
"SEL1L","SEL1L",12
"SEPN1","SEPN1",12
"SEPT1","SEPT1",12
"SEPT2","SEPT2",12
"SERP1","SERP1",12
"SERPINF1","SERPINF1",12
"SETD5","SETD5",12
"SFPQ","SFPQ",12
"SH2B1","SH2B1",12
"SHARPIN","SHARPIN",12
"SIDT2","SIDT2",12
"SIGLEC5","SIGLEC5",12
"SIGLEC9","SIGLEC9",12
"SIM2","SIM2",12
"SKAP1","SKAP1",12
"SLC1A5","SLC1A5",12
"SLC24A5","SLC24A5",12
"SLC25A15","SLC25A15",12
"SLC25A5-AS1","SLC25A5-AS1",12
"SLC25A51","SLC25A51",12
"SLC2A1","SLC2A1",12
"SLC39A5","SLC39A5",12
"SLC45A4","SLC45A4",12
"SLC4A2","SLC4A2",12
"SLC4A8","SLC4A8",12
"SLC5A6","SLC5A6",12
"SLC8A1","SLC8A1",12
"SLFN14","SLFN14",12
"SMARCAD1","SMARCAD1",12
"SNAPC5","SNAPC5",12
"SNRNP70","SNRNP70",12
"SNRPD3","SNRPD3",12
"SNX5","SNX5",12
"SPAST","SPAST",12
"SPATA24","SPATA24",12
"SPATA6L","SPATA6L",12
"SPCS3","SPCS3",12
"SPEN","SPEN",12
"SPG11","SPG11",12
"SPNS2","SPNS2",12
"SPTBN5","SPTBN5",12
"SQSTM1","SQSTM1",12
"SRSF2","SRSF2",12
"SSBP4","SSBP4",12
"ST20","ST20",12
"ST3GAL2","ST3GAL2",12
"STAB2","STAB2",12
"STARD9","STARD9",12
"STAT6","STAT6",12
"STK11","STK11",12
"STK19","STK19",12
"STX11","STX11",12
"STXBP1","STXBP1",12
"STYX","STYX",12
"SZT2","SZT2",12
"TAGLN","TAGLN",12
"TAPBP","TAPBP",12
"TAX1BP1","TAX1BP1",12
"TBC1D16","TBC1D16",12
"TCEAL4","TCEAL4",12
"TDRD6","TDRD6",12
"TEFM","TEFM",12
"TES","TES",12
"TESK1","TESK1",12
"TGIF1","TGIF1",12
"THBS2","THBS2",12
"THRA","THRA",12
"THTPA","THTPA",12
"TIAL1","TIAL1",12
"TIAM2","TIAM2",12
"TLDC2","TLDC2",12
"TMBIM4","TMBIM4",12
"TMCO3","TMCO3",12
"TMEM132D","TMEM132D",12
"TMEM165","TMEM165",12
"TMEM198B","TMEM198B",12
"TMEM86A","TMEM86A",12
"TMEM91","TMEM91",12
"TMEM9B-AS1","TMEM9B-AS1",12
"TMPO","TMPO",12
"TMSB4X","TMSB4X",12
"TNRC6C","TNRC6C",12
"TP73","TP73",12
"TP73-AS1","TP73-AS1",12
"TPM4","TPM4",12
"TPT1-AS1","TPT1-AS1",12
"TRAF3IP2-AS1","TRAF3IP2-AS1",12
"TRAM1","TRAM1",12
"TRAPPC4","TRAPPC4",12
"TRG-AS1","TRG-AS1",12
"TRO","TRO",12
"TRPM2","TRPM2",12
"TSPEAR","TSPEAR",12
"TSR3","TSR3",12
"TTC16","TTC16",12
"TTC28","TTC28",12
"TTLL3","TTLL3",12
"TXNRD2","TXNRD2",12
"TYMS","TYMS",12
"UBA3","UBA3",12
"UHRF1BP1","UHRF1BP1",12
"UIMC1","UIMC1",12
"UNC93B1","UNC93B1",12
"USP3","USP3",12
"USP30","USP30",12
"USP30-AS1","USP30-AS1",12
"USP9X","USP9X",12
"VDAC1","VDAC1",12
"VIM-AS1","VIM-AS1",12
"VLDLR","VLDLR",12
"VPS29","VPS29",12
"VWA3A","VWA3A",12
"WDR33","WDR33",12
"WDR73","WDR73",12
"WDR83OS","WDR83OS",12
"WDR86","WDR86",12
"WDR88","WDR88",12
"WEE2","WEE2",12
"WHAMM","WHAMM",12
"WNT16","WNT16",12
"WNT2B","WNT2B",12
"WNT4","WNT4",12
"WTAP","WTAP",12
"XBP1","XBP1",12
"ZBTB32","ZBTB32",12
"ZC3H10","ZC3H10",12
"ZCCHC14","ZCCHC14",12
"ZDHHC20","ZDHHC20",12
"ZEB2-AS1","ZEB2-AS1",12
"ZFAT-AS1","ZFAT-AS1",12
"ZFR","ZFR",12
"ZMYM3","ZMYM3",12
"ZNF142","ZNF142",12
"ZNF205-AS1","ZNF205-AS1",12
"ZNF30","ZNF30",12
"ZNF319","ZNF319",12
"ZNF337","ZNF337",12
"ZNF394","ZNF394",12
"ZNF428","ZNF428",12
"ZNF497","ZNF497",12
"ZNF551","ZNF551",12
"ZNF565","ZNF565",12
"ZNF575","ZNF575",12
"ZNF587","ZNF587",12
"ZNF587B","ZNF587B",12
"ZNF606","ZNF606",12
"ZNF638","ZNF638",12
"ZNF668","ZNF668",12
"ZNF800","ZNF800",12
"ZNF821","ZNF821",12
"ZNFX1","ZNFX1",12
"ZSCAN12P1","ZSCAN12P1",12
"ZSCAN18","ZSCAN18",12
"ZSCAN29","ZSCAN29",12
"ABTB2","ABTB2",13
"ACAT1","ACAT1",13
"ARPC3","ARPC3",13
"BAP1","BAP1",13
"BCL9","BCL9",13
"BORA","BORA",13
"BYSL","BYSL",13
"C15orf40","C15orf40",13
"CABP7","CABP7",13
"CASKIN1","CASKIN1",13
"CASP8","CASP8",13
"CCDC28B","CCDC28B",13
"CEMIP","CEMIP",13
"CISD2","CISD2",13
"CLECL1","CLECL1",13
"COA7","COA7",13
"CROCCP3","CROCCP3",13
"DDX58","DDX58",13
"DGKQ","DGKQ",13
"DISP2","DISP2",13
"DOPEY1","DOPEY1",13
"DPY19L2P2","DPY19L2P2",13
"EIF4ENIF1","EIF4ENIF1",13
"EML5","EML5",13
"ERMAP","ERMAP",13
"FAM193B","FAM193B",13
"FAM86A","FAM86A",13
"FAR2","FAR2",13
"FARP2","FARP2",13
"FBXL16","FBXL16",13
"FMNL2","FMNL2",13
"FNDC9","FNDC9",13
"FUCA2","FUCA2",13
"GDF9","GDF9",13
"GFM2","GFM2",13
"GPT","GPT",13
"H1FNT","H1FNT",13
"IQCC","IQCC",13
"JPH3","JPH3",13
"KCNH3","KCNH3",13
"KCNT1","KCNT1",13
"LCAT","LCAT",13
"LMF1-AS1","LMF1-AS1",13
"LOC100132356","LOC100132356",13
"LOC100506083","LOC100506083",13
"LOC100506469","LOC100506469",13
"LOC100996251","LOC100996251",13
"LOC101927211","LOC101927211",13
"LOC101928943","LOC101928943",13
"LOC101929010","LOC101929010",13
"LRP2BP","LRP2BP",13
"LRRC8B","LRRC8B",13
"LRRN2","LRRN2",13
"LSR","LSR",13
"MED4-AS1","MED4-AS1",13
"METTL12","METTL12",13
"MICAL1","MICAL1",13
"MIR1282","MIR1282",13
"MIR497HG","MIR497HG",13
"MRPS7","MRPS7",13
"MTHFD2","MTHFD2",13
"MXRA8","MXRA8",13
"MYRIP","MYRIP",13
"NAALAD2","NAALAD2",13
"NCOR1","NCOR1",13
"NDUFB2-AS1","NDUFB2-AS1",13
"NIF3L1","NIF3L1",13
"NOP16","NOP16",13
"NSUN5P2","NSUN5P2",13
"NUP188","NUP188",13
"NUTM2G","NUTM2G",13
"ORM2","ORM2",13
"PAPSS2","PAPSS2",13
"PAXBP1","PAXBP1",13
"PCDH12","PCDH12",13
"PDZK1","PDZK1",13
"PEX5L","PEX5L",13
"PFKP","PFKP",13
"PLCE1","PLCE1",13
"PLXNC1","PLXNC1",13
"PODXL","PODXL",13
"PPAPDC1B","PPAPDC1B",13
"PPP1R16A","PPP1R16A",13
"PRH2","PRH2",13
"PROC","PROC",13
"PRR3","PRR3",13
"RAD9A","RAD9A",13
"RDH13","RDH13",13
"RGL4","RGL4",13
"RHOF","RHOF",13
"RNASEH2C","RNASEH2C",13
"RNF167","RNF167",13
"RPS6KA2","RPS6KA2",13
"SCN8A","SCN8A",13
"SEMA6A","SEMA6A",13
"SH3BP5","SH3BP5",13
"SIK2","SIK2",13
"SLC1A4","SLC1A4",13
"SLC24A1","SLC24A1",13
"SLC34A3","SLC34A3",13
"SLFNL1","SLFNL1",13
"SNED1","SNED1",13
"SNX11","SNX11",13
"SNX22","SNX22",13
"SPTBN2","SPTBN2",13
"SRPK3","SRPK3",13
"SSBP3","SSBP3",13
"ST7-AS1","ST7-AS1",13
"SYTL1","SYTL1",13
"TBC1D10C","TBC1D10C",13
"TEAD2","TEAD2",13
"THBS4","THBS4",13
"TIMM17B","TIMM17B",13
"TMPRSS6","TMPRSS6",13
"TOMM34","TOMM34",13
"TOMM70A","TOMM70A",13
"TRAF3IP2","TRAF3IP2",13
"TRIM17","TRIM17",13
"TSSK3","TSSK3",13
"TSSK4","TSSK4",13
"TUB","TUB",13
"UBE2D4","UBE2D4",13
"UCKL1-AS1","UCKL1-AS1",13
"VPS52","VPS52",13
"VTN","VTN",13
"WDR5B","WDR5B",13
"WHSC1L1","WHSC1L1",13
"ZBED4","ZBED4",13
"ZHX3","ZHX3",13
"ZNF154","ZNF154",13
"ZNF213","ZNF213",13
"ZNF233","ZNF233",13
"ZNF24","ZNF24",13
"ZNF397","ZNF397",13
"ACADVL","ACADVL",14
"ADPGK","ADPGK",14
"ADPGK-AS1","ADPGK-AS1",14
"AGPAT1","AGPAT1",14
"AIDA","AIDA",14
"AMPD2","AMPD2",14
"ANKRD36BP1","ANKRD36BP1",14
"ARL6IP6","ARL6IP6",14
"ASB14","ASB14",14
"ASF1A","ASF1A",14
"ATRAID","ATRAID",14
"B9D1","B9D1",14
"BAZ1A","BAZ1A",14
"BCL2L11","BCL2L11",14
"BEST1","BEST1",14
"BRD2","BRD2",14
"BRE","BRE",14
"C12orf29","C12orf29",14
"C1orf167","C1orf167",14
"C5orf56","C5orf56",14
"CACFD1","CACFD1",14
"CAPS","CAPS",14
"CD5","CD5",14
"CEP170","CEP170",14
"CMTM4","CMTM4",14
"COX15","COX15",14
"DALRD3","DALRD3",14
"DDB2","DDB2",14
"DDX19B","DDX19B",14
"DDX21","DDX21",14
"DDX39A","DDX39A",14
"DEAR","DEAR",14
"DNMBP-AS1","DNMBP-AS1",14
"DUSP1","DUSP1",14
"DYNC1H1","DYNC1H1",14
"EFCAB5","EFCAB5",14
"EP300","EP300",14
"ERLEC1","ERLEC1",14
"EVI2A","EVI2A",14
"FAM13A-AS1","FAM13A-AS1",14
"FCHSD1","FCHSD1",14
"FDFT1","FDFT1",14
"FEN1","FEN1",14
"FLJ31356","FLJ31356",14
"FLJ37453","FLJ37453",14
"FLNA","FLNA",14
"FMR1-AS1","FMR1-AS1",14
"FOS","FOS",14
"FOSB","FOSB",14
"GABARAPL1","GABARAPL1",14
"GAPDH","GAPDH",14
"GNS","GNS",14
"H3F3B","H3F3B",14
"HAUS3","HAUS3",14
"HCG25","HCG25",14
"HEXB","HEXB",14
"HIF1A-AS1","HIF1A-AS1",14
"HIPK3","HIPK3",14
"HLX-AS1","HLX-AS1",14
"IFNGR1","IFNGR1",14
"IL17RA","IL17RA",14
"IPMK","IPMK",14
"JUN","JUN",14
"JUNB","JUNB",14
"KLB","KLB",14
"KLF7","KLF7",14
"KMT2D","KMT2D",14
"KMT2E-AS1","KMT2E-AS1",14
"LBX2-AS1","LBX2-AS1",14
"LINC00936","LINC00936",14
"LINC01126","LINC01126",14
"LOC100289580","LOC100289580",14
"LOC100652999","LOC100652999",14
"LOC101927164","LOC101927164",14
"LOC101927492","LOC101927492",14
"LOC101928062","LOC101928062",14
"LOC101928068","LOC101928068",14
"LOC101928093","LOC101928093",14
"LOC101929718","LOC101929718",14
"LOC102546298","LOC102546298",14
"LOC441242","LOC441242",14
"LYST","LYST",14
"MASTL","MASTL",14
"MCL1","MCL1",14
"MED11","MED11",14
"MIDN","MIDN",14
"MIR4530","MIR4530",14
"MRPL49","MRPL49",14
"MTMR6","MTMR6",14
"MUTYH","MUTYH",14
"MYADM","MYADM",14
"NAA38","NAA38",14
"NAPB","NAPB",14
"NFIL3","NFIL3",14
"NFKB2","NFKB2",14
"NFKBIA","NFKBIA",14
"NOTCH4","NOTCH4",14
"NPR2","NPR2",14
"NSD1","NSD1",14
"NSMAF","NSMAF",14
"NSUN4","NSUN4",14
"ODF3B","ODF3B",14
"OR2B11","OR2B11",14
"OSM","OSM",14
"PARVG","PARVG",14
"PEX10","PEX10",14
"PICALM","PICALM",14
"PIK3R2","PIK3R2",14
"PLEKHG6","PLEKHG6",14
"PPP1R15A","PPP1R15A",14
"PPP2R1B","PPP2R1B",14
"PRG4","PRG4",14
"PRKAG2","PRKAG2",14
"PRKAG2-AS1","PRKAG2-AS1",14
"PRKCH","PRKCH",14
"PRSS12","PRSS12",14
"PUSL1","PUSL1",14
"PXN-AS1","PXN-AS1",14
"RAB24","RAB24",14
"RAPGEF1","RAPGEF1",14
"RFPL3","RFPL3",14
"RFX1","RFX1",14
"RGL2","RGL2",14
"RGMB","RGMB",14
"RIC8A","RIC8A",14
"SAT1","SAT1",14
"SCAF11","SCAF11",14
"SERPINA1","SERPINA1",14
"SETX","SETX",14
"SHISA5","SHISA5",14
"SLC25A30","SLC25A30",14
"SLC2A3","SLC2A3",14
"SLC43A2","SLC43A2",14
"SMAGP","SMAGP",14
"SMNDC1","SMNDC1",14
"SNHG16","SNHG16",14
"STL","STL",14
"SUPT20H","SUPT20H",14
"SYNCRIP","SYNCRIP",14
"TAGLN2","TAGLN2",14
"TATDN2","TATDN2",14
"THAP3","THAP3",14
"THAP7","THAP7",14
"THRIL","THRIL",14
"TMEM87A","TMEM87A",14
"TNKS","TNKS",14
"TPP1","TPP1",14
"TRIM33","TRIM33",14
"TRIO","TRIO",14
"TRMT1","TRMT1",14
"TTC21A","TTC21A",14
"TULP2","TULP2",14
"USP21","USP21",14
"VASH2","VASH2",14
"VSIG4","VSIG4",14
"WDR5","WDR5",14
"WDR74","WDR74",14
"ZFC3H1","ZFC3H1",14
"ZFP36","ZFP36",14
"ZFP36L1","ZFP36L1",14
"ZNF295-AS1","ZNF295-AS1",14
"ZNF582-AS1","ZNF582-AS1",14
"ZNF655","ZNF655",14
"ZSWIM8-AS1","ZSWIM8-AS1",14
"ACAT2","ACAT2",15
"ACPT","ACPT",15
